  ('AI-1000', 'Air India', 'Mumbai', 'Delhi', NOW() + INTERVAL '0 days 2 hours', NOW() + INTERVAL '0 days 5 hours 43 minutes', 6421.00, 180, 53),
  ('SP-1001', 'SpiceJet', 'Mumbai', 'Kolkata', NOW() + INTERVAL '0 days 12 hours', NOW() + INTERVAL '0 days 13 hours 57 minutes', 7538.00, 180, 162),
  ('GO-1002', 'GoAir', 'Mumbai', 'Bangalore', NOW() + INTERVAL '1 days 11 hours', NOW() + INTERVAL '1 days 14 hours 23 minutes', 4833.00, 180, 124),
  ('AI-1003', 'AirAsia India', 'Mumbai', 'Pune', NOW() + INTERVAL '1 days 4 hours', NOW() + INTERVAL '1 days 6 hours 17 minutes', 5583.00, 180, 17),
  ('ST-1004', 'Star Air', 'Mumbai', 'Hyderabad', NOW() + INTERVAL '2 days 12 hours', NOW() + INTERVAL '2 days 13 hours 48 minutes', 5994.00, 180, 36),
  ('AK-1005', 'Akasa Air', 'Mumbai', 'Ahmedabad', NOW() + INTERVAL '2 days 4 hours', NOW() + INTERVAL '2 days 7 hours 22 minutes', 3956.00, 180, 9),
  ('AI-1006', 'Air India', 'Mumbai', 'Chennai', NOW() + INTERVAL '3 days 11 hours', NOW() + INTERVAL '3 days 13 hours 32 minutes', 6117.00, 180, 142),
  ('SP-1007', 'SpiceJet', 'Mumbai', 'Jaipur', NOW() + INTERVAL '3 days 6 hours', NOW() + INTERVAL '3 days 9 hours 30 minutes', 6322.00, 180, 88),
  ('GO-1008', 'GoAir', 'Mumbai', 'Kolkata', NOW() + INTERVAL '4 days 18 hours', NOW() + INTERVAL '4 days 20 hours 57 minutes', 4377.00, 180, 146),
  ('AI-1009', 'AirAsia India', 'Mumbai', 'Lucknow', NOW() + INTERVAL '4 days 20 hours', NOW() + INTERVAL '4 days 23 hours 52 minutes', 7046.00, 180, 0),
  ('ST-1010', 'Star Air', 'Mumbai', 'Pune', NOW() + INTERVAL '5 days 9 hours', NOW() + INTERVAL '5 days 11 hours 28 minutes', 6355.00, 180, 119),
  ('AK-1011', 'Akasa Air', 'Mumbai', 'Goa', NOW() + INTERVAL '5 days 17 hours', NOW() + INTERVAL '5 days 19 hours 42 minutes', 6391.00, 180, 116),
